,종목명,현재가,전일대비,등락률
0,삼성전자,"71,100","상승 1,000",+1.43%
1,SK하이닉스,"287,500","상승 10,500",+3.79%
2,LG에너지솔루션,"347,000","상승 3,500",+1.02%
3,삼성바이오로직스,"1,035,000","상승 4,000",+0.39%
4,한화에어로스페이스,"947,000","하락 4,000",-0.42%
5,현대차,"220,000","상승 1,500",+0.69%
6,HD현대중공업,"502,000","하락 9,000",-1.76%
7,KB금융,"109,300","상승 2,600",+2.44%
8,기아,"105,700",상승 800,+0.76%
9,두산에너빌리티,"62,000","상승 1,100",+1.81%
10,셀트리온,"169,700",하락 300,-0.18%
11,NAVER,"232,000","상승 4,000",+1.75%
12,한화오션,"110,000",하락 900,-0.81%
13,신한지주,"65,400","상승 1,000",+1.55%
14,삼성생명,"158,200","상승 7,800",+5.19%
