상품명,가격,url
Apple 애플 아이폰 13 미니 128GB 새상품,"298,000원",https://cr.shopping.naver.com/adcr?x=yMniHWRujVBdwyIWcvpxQf%2F%2F%2Fw%3D%3Dsy8K8uv71gfV6Y7s2oFxRva1odJ2%2F6LBtogIwFjN3ri1yoYErd7Wx1dfdVO6hh7qVWeWbzGAcwehVGbhjZk1KiEbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F270tAD4KwX3DANuQngym7PfN%2FckC70JY637Ri%2B53HFF93HCqHuelNexWlFOhucoO6UMBbAUTLhEczrfo6o%2BFCYJ9koDZhZTyE2PqJzLGA4wO5rFOggmiXu3%2F8keUf6BliA0oWNbehlLRg4bygR%2F2XoUy6wfoF3Iqbzs0C4INbjbMuAbCY81f975eS5nfR25FBiP83WAv8GAIoQ0MwLPWeb%2FaYktFOTpqp80kiYaRGg4at4PtM3NiCk0nB6XIa249O3G1fUqIZ7CTqeNBeEUiuIjRZhILDd3GYCAhDGtTHHbmXN81WjUpxJVJrN5mDsz4BpBWxMcPavFhCT3ZiddWGpiXDk%2FkbHZxyMzTBpfIN1hTOBbCOjR8RqdXREfQQSPpXKbOJEpyFE%2Ft7cEbAgiUS3%2BSs3Ydyg6Og7ejXW5W7UF8KeCV9X781%2Bj%2F1qryCSqaHqib5Y8cu9Y2%2B2oTPyG7FK%2BH4oxPDPvikdk1JPvM43tH7f7iYwg26TFva1BhhPw7DoA35CyMrpXQUt3%2FJvHupy5s1ITc7NlRPvorKrNyQBKaY%3D&nvMid=88573763568&catId=50001519
아이폰 16 프로 128GB [자급제],"최저1,538,900원",https://cr.shopping.naver.com/adcr?x=deEtUD6GWCk86GSME6onvP%2F%2F%2Fw%3D%3Dsuu%2BF%2B%2BU7lgUL7GUVKyakUuPF2osglqx6%2FOj3H7y3YjsAjU5j3gjlMYsRq8%2BGHFpSnLoyO9I0DCIXiDA%2BLtLO4x4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyIb%2FwIQMVPhp6u328if7E9JSgilZGUj8jb6EDllAlGtXIwaX5oqTTTn7cu2Dxtg3n4BsJjzV%2F3vl5Lmd9HbkUGLRQmZOE4aHBQfncVeXclRv4HNcdSRb%2FGEg5vTEjHQ%2B%2F1NP%2F9CJheBrCWSTQseekcv7q8esbfQYTXGphYZh1m9mdIEjKSbYrQhFBtyOafVtzsv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYwKAwcyfgBzcO7OHDvVxClRnark7wkt7WzcXti33PpzIMbh6%2FL4zXePrhRg6eFPIZrPV5sDSToGuPRKZLksRofMb9fe38o2Eslxa66FmBFHak5Veu6YTQhhahVu5gYc%2BVmDVdSXqdJXce1T69HqpLI5KTb8buH5c0P7SGbDtxlocsfMY3qLkM95rH%2FQjAjqTe3sEUjHRYVZht7yNdAhLKzIw2VWbHnGPxHxAp4ye35kY2D3luiNJFRhlBPqPGwhdl%2BgtF15PMkmjkNDmi88yMRfeYrDpdVdnFJLNkunA7VaOjE4CS7Ey4qZfVsrONaCXDhWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=53599505975&catId=50001519
아이폰 16 프로 256GB [자급제],"최저1,647,990원",https://cr.shopping.naver.com/adcr?x=0JGxD%2Bv3BNUfPTYOVplu0f%2F%2F%2Fw%3D%3DspG1xYsyHADuwjFUG4yYg6XRPOrI6si8B7QgpHf1z9bAAjU5j3gjlMYsRq8%2BGHFpSJsvZIbU4FCuG5SdZmkyN4R4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyIb%2FwIQMVPhp6u328if7E9JSgilZGUj8jb6EDllAlGtXIwaX5oqTTTn7cu2Dxtg3n4BsJjzV%2F3vl5Lmd9HbkUGLRQmZOE4aHBQfncVeXclRvrR6szoGDNm3Zwlu9PV9F2VNP%2F9CJheBrCWSTQseekcv7q8esbfQYTXGphYZh1m9mdIEjKSbYrQhFBtyOafVtzsv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMYRSxo3yZzrHA73TpOpcLiwMKgkyftb0Ci2htacG%2BACoEMbh6%2FL4zXePrhRg6eFPIZHMG4%2Bxld%2FiWBDKcFK7JGtrL%2BD79JFqXUHChswIKAa5ek5Veu6YTQhhahVu5gYc%2BVmDVdSXqdJXce1T69HqpLI8bbTrOhMmQpEkp4UEtzKmQsfMY3qLkM95rH%2FQjAjqTe3sEUjHRYVZht7yNdAhLKzMuH1Uq8rYh6cx1KZpjqA0gaoziNBFS6%2B1s6p%2FizyL9n%2BgtF15PMkmjkNDmi88yMRZRIMwh9gQdK5fKvEQO4uHOjE4CS7Ey4qZfVsrONaCXDhWw3%2BIByOa0jCVNQVnCDoA%3D%3D&nvMid=53599506392&catId=50001519
애플 아이폰 13 미니 128GB 미개봉 새제품,"298,000원",https://cr.shopping.naver.com/adcr?x=QC1mkuiQVZbLuYGTxMmZlP%2F%2F%2Fw%3D%3Ds9IXXjBIquLBjrmH%2FNyWc7zQIvpgte0yYkgCqbtmG33EAjU5j3gjlMYsRq8%2BGHFpSkXgZLi7lxb%2ByGubVlJN%2Fbx4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyIb%2FwIQMVPhp6u328if7E9JSgilZGUj8jb6EDllAlGtXOU4SRBuHom0%2FlAQG%2FFwunOa0O2TX7GIDZW3de8vjU8y5u%2BLaMbRR7j4zS2m81Tn%2F2y%2BaaCXjGHT3MRxuH1Xyn%2BdwIXqRpU1txXPSlJNgdbnDpmNu2Rs3tEPrV0ZTODsbWqyaFa2xLbpwGCJChqMDqj3ZRuqeemDqbBC7dxWcQhAuz9jPDPKZs%2F2bzWa3Lzlf2HvQrG1q57G6KIPveES%2FyNdbVl6W71aOeZgmgx96OfUeqk4LMIEBP4zpffNGxWSy1N%2BL%2B8ZmM0Nx8bo26nF%2FqMtCCDv3O8qpgwhizJk%2FVqKVMOvFgxAHuHveibskRJiiahPnKfD4cIBR7086u5U15Vu4KYxQ5hJmStiqR%2Fg3B6iGuqffjRi0l%2F3ijs1bD2upD%2B1GzYyCQAVsDO6ulMSblvoBcU0fvJ%2F3Qbh2AqOxqRwZv2MJHxw3c67%2B9dExc4%2B945bD8MVIgfwf2rgOZQOlVIKoDr6us%2BRKRCOTdsWr9TI%3D&nvMid=89710098371&catId=50001519
아이폰 16 128GB [자급제],"최저1,150,000원",https://cr.shopping.naver.com/adcr?x=GbdfWfxDAfkrULoGDAE9Qf%2F%2F%2Fw%3D%3DsfDjSAz1pewmQC9o67AkWQr0Rl5lkRSnnItwpJI%2BB9%2BjxTAJR5s3V3RheLYZrm3hTOMiPTcztHzfjmig%2BBOYcetof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWTB0Ex6yK4xEkKTdYstTxiSvalvhROusSl2KXx23R8SAgw3sMZxAmQ%2F%2FpCHr5GMhBSWzUz3G5xfGQ8%2B3tBOZJEWvqR2unsG9Pw6XBns%2FftjJ9CBepH28DqIqxPWMp9ZoRAtCTp9z1KK5jJ8FYkB3WoOPi0Saw6L6RKGlnVGdk9xU98g70bl4pkYZInkzhW5kzVEe64tiq9f8BYTcn0QNaP7ngnxQ7ssMZd09T0OjyjIxearTBvydD1LUI3JWpCADInPRa3nRC5SLVHFAcCkgsRWovNxFWzA781dOsDXmXgY1sXg5lUvZD9zC7Fi9WJJOHOC5CYCWgpztHEQ4JQULl25w9%2FDMX2S1ZzF2txO07wpSHt5FeG%2FH7Xww%2F%2FMuALSoljDFpNKsYTAdK7nLAuuyHjaWAxwKjSAkhiEGe7TycblcvuEKoypwn4%2FkukrXKy3HW61JV%2FLIz3rS4VPLPhSxRCswxBXPvdmx%2FVspgMPoInUQRpOFzCbaM6OU97uoPifjruuSpK2UCX1QdOyos7cKJ%2BbfDKlm2l7FCBzg5uoG9Nf3Njqh%2FZemCCOboDhnweAmG&nvMid=53599047304&catId=50001519
아이폰 15 128GB [자급제],"최저949,900원",https://cr.shopping.naver.com/adcr?x=%2FCIzPRTM%2FOzIrsHtOcLLa%2F%2F%2F%2Fw%3D%3DsJYILPsM5dBo81h%2BoYWQYOwiPlAFKf0yZ4L%2FUxJHCVqMAjU5j3gjlMYsRq8%2BGHFpSLNnNBtdP0508BfVHBBS5PR4pza8ebIOIXPrPsGGS95ek6v2w9jBqMGR4TTsgYaQn4WRl5oGidfnOBrsDevoxyIb%2FwIQMVPhp6u328if7E9JSgilZGUj8jb6EDllAlGtXIwaX5oqTTTn7cu2Dxtg3n4BsJjzV%2F3vl5Lmd9HbkUGLRQmZOE4aHBQfncVeXclRvFDj%2BCCJLo79XsVrF8n3G5VNP%2F9CJheBrCWSTQseekcv7q8esbfQYTXGphYZh1m9mdIEjKSbYrQhFBtyOafVtzsv%2BjB2erv%2BZ%2Brrs5VHOiTRLlIk0uAh1LVcUK1nkYRMY2DqRaKgBbS9czrM%2FUy5AgeK2V7exMnun2FBCv4p788UMbh6%2FL4zXePrhRg6eFPIZWLRG7utxU%2F%2F%2F7ShynJqpQQZUmNA4gxLTebXdgCfMUNCk5Veu6YTQhhahVu5gYc%2BV2aIcCKLi77dPmUzNAC4aHuUTzQo3Bt83F6RCwYl6NGT1%2FznlmL8f9WvnYmjuUYulzW4e70pMQGc1VnmdjemlaQZ4IPVpsECdLVJ0M4RvvHwBhNg6pO%2F%2Bw6bSRwW%2FduOkoOaPw8DGreU834qq9fiJG%2B%2Fs5xfrINuCloczCK120KcDfkLIyuldBS3f8m8e6nLmzUhNzs2VE%2B%2Bisqs3JAEppg%3D%3D&nvMid=53599527966&catId=50001519
아이폰 16 256GB [자급제],"최저1,394,000원",https://cr.shopping.naver.com/adcr?x=excYmFihBl8XOpetTmfh6%2F%2F%2F%2Fw%3D%3DsBtBiqgWLQjpDNjbRlj3W92Q1NJcJVsjn4sf7qAVAZm5yoYErd7Wx1dfdVO6hh7qVU4IV7CddRrGGUgevY%2F8xw0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F270tAD4KwX3DANuQngym7PfN%2FckC70JY637Ri%2B53HFF93HCqHuelNexWlFOhucoO6UZ51b4zIIhzI2xYZuL9f9QD9rXyqENDUD8omnd%2BAEOit8UGLqUBjjxneHxC2tuFVQGXSwd0oThgjyaaBd2f6dB4vFOQV9u2CZQf15VdnhYXqRLdMbVI2BAOJb4UdTu0ZCj6l6jETiOzYNWKWfWzuSKlVd6Z%2BmZ5fvTALbBBPmfKLmnGLANk9TjQtjOEdf9xG%2FsH%2BtbpFeQuOtnZ8fCIOzjiEhb%2B5%2BbgCLWD5ufmjwVaC9fzZjkiWz1wt4EO7UvJkHrKjRYFNf4EwOdSnXBlqnqKAhfbmRc6T9Q91MqoVII6oOBwpY%2FtOsTB9Y%2FR9XUEV7VhUG%2FvUKDR%2Box2KNE9duyPUm2fIVXw4PsGeC2XzHRC%2FL72DqDaunoekHdFLHT5489wQAiF3CVW%2FPYzFcwwSgpsdakQOCZqkl6Orx%2FZ8GxV8NauEcRynSn%2F8orOK7nc90VSUi5ocp0X1KdI8nDeLFpTtGYbhbJI9%2FmuZV5dO3tMpXc50eBITwugSNPH3Ok09sVpGw61BSdoQRvEGgfFlc5w%3D%3D&nvMid=53599047322&catId=50001519
아이폰 15 프로 256GB [자급제],"최저1,393,900원",https://cr.shopping.naver.com/adcr?x=WHW%2BA1j%2FbHSsu%2B1rm46Qcf%2F%2F%2Fw%3D%3DscUi4G67aUdPH7nD5CmWotEFztRSczYJFSga5HO4JxglyoYErd7Wx1dfdVO6hh7qVj9MUus7engAy7U3Xdyi%2BFUbAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F270tAD4KwX3DANuQngym7PfN%2FckC70JY637Ri%2B53HFF93HCqHuelNexWlFOhucoO6UZ51b4zIIhzI2xYZuL9f9QD9rXyqENDUD8omnd%2BAEOit8UGLqUBjjxneHxC2tuFVQkvFvdCIBB783QMw%2BzWJTXovFOQV9u2CZQf15VdnhYXqRLdMbVI2BAOJb4UdTu0ZCj6l6jETiOzYNWKWfWzuSKlVd6Z%2BmZ5fvTALbBBPmfKLmnGLANk9TjQtjOEdf9xG%2FdYBqlo8Ca%2B%2BsxzTa7GsReyEhb%2B5%2BbgCLWD5ufmjwVaC9fzZjkiWz1wt4EO7UvJkHy0z3yqLVO%2F1WaOVEd2IEwqAhfbmRc6T9Q91MqoVII6oOBwpY%2FtOsTB9Y%2FR9XUEV7p7l1Z6ZOUTqyQiw3s%2BDzwM%2FFIf4yGPCeFlgQd%2BW1h9IannmEydog6wNt7svQRstzZGLBRdl8hk8IiSGyW4LTn339hSvx%2BgqmQnthnPxi2rW67qFZNDARYcZkRQNTwYwp3qtY8AJ5An4EL%2FW%2Fjq37xrPF47lzkIhtLa3GifxCk0hYJ9kHBRYSKGJUjszPcp5OHRyPBWbUFRhWScTsgQynPg%3D%3D&nvMid=53599860411&catId=50001519
Apple 아이폰 12 mini 자급제  화이트  128GB,"458,000원",https://cr.shopping.naver.com/adcr?x=%2B%2Fvf9yEJJCvvDKF33%2Bqy6P%2F%2F%2Fw%3D%3Ds5aSRc5hHx8jTkIsr4Mzys08asFonXyDvwfNVltm3uvtyoYErd7Wx1dfdVO6hh7qVBV6RPHac9RwpcRKxqu92V0bAoeRkvpJaJBMwPydFbM8QhkkHXK4%2FmSRy5icYE%2F270tAD4KwX3DANuQngym7PfN%2FckC70JY637Ri%2B53HFF93HCqHuelNexWlFOhucoO6UIsv8RtyTxe%2Fz3NDJVfR1c0OrCYDXQIpvcT6jAqSegKLBC1lzmVffpCQdLmX07cnMxxhTQOPcSSzkpGPiP4O99tLbKaIhf3BD6Nyxp3%2FIQBwr6HUXancmI9TjPx9z1%2BihfgeDY%2FWZxPLMSCIyxSspriHggzI37tB4C1ftaYacOCxX3OSJGKTUjqWiVT4cAniC3%2Bkmfb5L0mB%2Fj1X2l5wWbY%2BpeoxE4js2DViln1s7kipVXemfpmeX70wC2wQT5nyi5pxiwDZPU40LYzhHX%2FcRv7FH2Kohhu2vJPrv47aQ9kSFBqlYsZUWsJTnzT9yWjaXK98KaIZa4VBE0V5wqYGSTiySSeQDNp%2F8jnu3giiTV%2BWMHn7BDBNaqXNmoKbAeTMva42dsZkAW0k6UtihrcbVeWMRs4WP2Oj4LT107cSd260Xxa2pLvo50%2FzDM9IY8TmV5EOPfTJXByb2Z%2Fvvn36PBww2vp5ySZkNEvC71iNd3DwGyQIIHTX2N6D3TWsaFZ%2B4y9O26Di8KMS%2BiGo7JDPn2VINss%2BDxIIpGGVv7i66bO0uDacJpnq1AwO3QsA%2Bkplgy1Vhq%2FH77x9Zlr1IFzyuow%3D%3D&nvMid=55795851881&catId=50001519
해외아이폰 5S 무음 공기계 인스타 카메라 감성사진 학생폰 세컨폰 실버 16GB 항공,"79,500원",https://cr.shopping.naver.com/adcr?x=OMDMIxH0XHkeoXLfV%2FPGqv%2F%2F%2Fw%3D%3DsAGeJyaRoAtC%2FdQqu6IxlBTixvkwd7eBqmHf12%2FnYNPLxTAJR5s3V3RheLYZrm3hTG%2BkGi%2BshulS0jTKOJfhy7dof6jW5jHdz%2FbROY2pgmykluxxfm60J9z8rnZUjvqTWTB0Ex6yK4xEkKTdYstTxiSvalvhROusSl2KXx23R8SAgw3sMZxAmQ%2F%2FpCHr5GMhBBju2H9vlf%2B7%2FVgVUBSeHForiPkxPAXjk2LX8wmqtKDTFC6FV%2BIA1o3MzbWNuFjmJS%2Fo9h7GYmXqbeXVtmXUYC67S6vPaFxzJFNEtrsJAet8%2Fa18qhDQ1A%2FKJp3fgBDor391W%2FC1w5SVs2sYtTdFSemf9GFUQ8m92%2BHWGTCmxHKfoMTSaXgwMo2XcBncM2%2BQYH%2FU%2FRs2RONfDDKvEvB6NnycFBt%2BipWt22am8f2ZTpDtIa%2FIDcyjh15RQN5IM5zaTiC6Q%2Bv3ImPTCJ41dUcoragf26AOFQf0n1A9ukEzwD6WfQ0o%2FNyX03vUxh%2BxgZXmjjQTot5LSslgl%2F1rX%2BKiqeolffd5QNgpTkjAeqt9F5Vhwy4brUtrYFjrYB1bU2u1eTD70LuGTRuokkSswz4tK4ql92ZF%2B0zsrnSpl%2ByR%2FxDXtmTNEb%2Faz8l9iHOxZHEp9cfw3LTbo7JUpwHk0qIpJ%2FulDzWY2Jn%2B6RD6BO6KmEoqCvGH4RVdzMuPrWccYzZr0Wsl5%2Bg4luaQ7gEP1gxuYzQ1QmAmnoJRdq4K9btjkCM0%3D&nvMid=88862658133&catId=50000249
